cuadro;no;nivel;departamento;provincia;municipio_tioc;area;2001_total;2001_total_tiene;2001_total_no_tiene;2001_total_sin_especificar;2001_hombres_total;2001_hombres_tiene;2001_hombres_no_tiene;2001_hombres_sin_especificar;2001_mujeres_total;2001_mujeres_tiene;2001_mujeres_no_tiene;2001_mujeres_sin_especificar;2012_total;2012_total_tiene;2012_total_no_tiene;2012_total_sin_especificar;2012_hombres_total;2012_hombres_tiene;2012_hombres_no_tiene;2012_hombres_sin_especificar;2012_mujeres_total;2012_mujeres_tiene;2012_mujeres_no_tiene;2012_mujeres_sin_especificar;2024_total;2024_total_tiene;2024_total_no_tiene;2024_total_sin_especificar;2024_hombres_total;2024_hombres_tiene;2024_hombres_no_tiene;2024_hombres_sin_especificar;2024_mujeres_total;2024_mujeres_tiene;2024_mujeres_no_tiene;2024_mujeres_sin_especificar
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2593;570;Provincia;Cochabamba;Tapacarí;;Rural;25,919;23,011;2,148;760;12,929;11,638;921;370;12,990;11,373;1,227;390;24,625;24,112;446;67;12,506;12,264;207;35;12,119;11,848;239;32;24,666;24,479;45;142;12,900;12,814;25;61;11,766;11,665;20;81
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2594;571;Municipio/TIOC;Cochabamba;Tapacarí;Tapacarí;Tapacarí;25,919;23,011;2,148;760;12,929;11,638;921;370;12,990;11,373;1,227;390;24,625;24,112;446;67;12,506;12,264;207;35;12,119;11,848;239;32;24,666;24,479;45;142;12,900;12,814;25;61;11,766;11,665;20;81
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2595;572;Municipio/TIOC;Cochabamba;Tapacarí;Tapacarí;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2596;573;Municipio/TIOC;Cochabamba;Tapacarí;Tapacarí;Rural;25,919;23,011;2,148;760;12,929;11,638;921;370;12,990;11,373;1,227;390;24,625;24,112;446;67;12,506;12,264;207;35;12,119;11,848;239;32;24,666;24,479;45;142;12,900;12,814;25;61;11,766;11,665;20;81
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2597;574;Provincia;Cochabamba;Carrasco;;Carrasco;115,741;104,428;7,909;3,404;62,866;57,253;3,831;1,782;52,875;47,175;4,078;1,622;135,484;131,623;3,217;644;71,406;69,399;1,692;315;64,078;62,224;1,525;329;176,840;175,251;907;682;92,037;91,145;504;388;84,803;84,106;403;294
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2598;575;Provincia;Cochabamba;Carrasco;;Urbana;16,425;14,920;1,030;475;8,596;7,885;485;226;7,829;7,035;545;249;33,247;32,213;898;136;16,397;15,893;441;63;16,850;16,320;457;73;62,279;61,692;391;196;30,541;30,213;215;113;31,738;31,479;176;83
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2599;576;Provincia;Cochabamba;Carrasco;;Rural;99,316;89,508;6,879;2,929;54,270;49,368;3,346;1,556;45,046;40,140;3,533;1,373;102,237;99,410;2,319;508;55,009;53,506;1,251;252;47,228;45,904;1,068;256;114,561;113,559;516;486;61,496;60,932;289;275;53,065;52,627;227;211
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2600;577;Municipio/TIOC;Cochabamba;Carrasco;Totora;Totora;12,927;11,756;774;397;6,613;6,059;362;192;6,314;5,697;412;205;14,665;14,297;306;62;7,582;7,396;162;24;7,083;6,901;144;38;14,821;14,650;62;109;7,823;7,725;35;63;6,998;6,925;27;46
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2601;578;Municipio/TIOC;Cochabamba;Carrasco;Totora;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2602;579;Municipio/TIOC;Cochabamba;Carrasco;Totora;Rural;12,927;11,756;774;397;6,613;6,059;362;192;6,314;5,697;412;205;14,665;14,297;306;62;7,582;7,396;162;24;7,083;6,901;144;38;14,821;14,650;62;109;7,823;7,725;35;63;6,998;6,925;27;46
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2603;580;Municipio/TIOC;Cochabamba;Carrasco;Pojo;Pojo;11,515;10,301;921;293;6,004;5,432;420;152;5,511;4,869;501;141;10,156;9,923;191;42;5,271;5,154;97;20;4,885;4,769;94;22;11,865;11,751;72;42;6,159;6,099;36;24;5,706;5,652;36;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2604;581;Municipio/TIOC;Cochabamba;Carrasco;Pojo;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2605;582;Municipio/TIOC;Cochabamba;Carrasco;Pojo;Rural;11,515;10,301;921;293;6,004;5,432;420;152;5,511;4,869;501;141;10,156;9,923;191;42;5,271;5,154;97;20;4,885;4,769;94;22;11,865;11,751;72;42;6,159;6,099;36;24;5,706;5,652;36;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2606;583;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Pocona;13,488;12,308;859;321;6,722;6,181;386;155;6,766;6,127;473;166;10,750;10,491;198;61;5,416;5,281;99;36;5,334;5,210;99;25;12,258;12,111;77;70;6,199;6,111;55;33;6,059;6,000;22;37
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2607;584;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2608;585;Municipio/TIOC;Cochabamba;Carrasco;Pocona;Rural;13,488;12,308;859;321;6,722;6,181;386;155;6,766;6,127;473;166;10,750;10,491;198;61;5,416;5,281;99;36;5,334;5,210;99;25;12,258;12,111;77;70;6,199;6,111;55;33;6,059;6,000;22;37
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2609;586;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Chimoré;14,834;12,982;1,453;399;8,577;7,640;715;222;6,257;5,342;738;177;21,736;20,913;713;110;11,677;11,249;375;53;10,059;9,664;338;57;27,521;27,286;127;108;14,637;14,508;68;61;12,884;12,778;59;47
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2610;587;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Urbana;3,874;3,577;194;103;2,337;2,176;106;55;1,537;1,401;88;48;6,260;6,116;119;25;3,372;3,304;56;12;2,888;2,812;63;13;10,856;10,781;40;35;5,612;5,567;25;20;5,244;5,214;15;15
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2611;588;Municipio/TIOC;Cochabamba;Carrasco;Chimoré;Rural;10,960;9,405;1,259;296;6,240;5,464;609;167;4,720;3,941;650;129;15,476;14,797;594;85;8,305;7,945;319;41;7,171;6,852;275;44;16,665;16,505;87;73;9,025;8,941;43;41;7,640;7,564;44;32
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2612;589;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Puerto Villarroel;40,790;36,919;2,626;1,245;22,784;20,782;1,315;687;18,006;16,137;1,311;558;46,627;45,283;1,122;222;24,755;24,063;583;109;21,872;21,220;539;113;64,595;64,111;293;191;33,538;33,264;164;110;31,057;30,847;129;81
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2613;590;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Urbana;6,366;5,694;459;213;3,209;2,899;210;100;3,157;2,795;249;113;13,031;12,564;419;48;6,345;6,123;203;19;6,686;6,441;216;29;22,915;22,706;150;59;11,138;11,017;87;34;11,777;11,689;63;25
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2614;591;Municipio/TIOC;Cochabamba;Carrasco;Puerto Villarroel;Rural;34,424;31,225;2,167;1,032;19,575;17,883;1,105;587;14,849;13,342;1,062;445;33,596;32,719;703;174;18,410;17,940;380;90;15,186;14,779;323;84;41,680;41,405;143;132;22,400;22,247;77;76;19,280;19,158;66;56
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2615;592;Municipio/TIOC;Cochabamba;Carrasco;Entre Ríos;Entre Ríos;22,187;20,162;1,276;749;12,166;11,159;633;374;10,021;9,003;643;375;31,550;30,716;687;147;16,705;16,256;376;73;14,845;14,460;311;74;45,780;45,342;276;162;23,681;23,438;146;97;22,099;21,904;130;65
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2616;593;Municipio/TIOC;Cochabamba;Carrasco;Entre Ríos;Urbana;6,185;5,649;377;159;3,050;2,810;169;71;3,135;2,839;208;88;13,956;13,533;360;63;6,680;6,466;182;32;7,276;7,067;178;31;28,508;28,205;201;102;13,791;13,629;103;59;14,717;14,576;98;43
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2617;594;Municipio/TIOC;Cochabamba;Carrasco;Entre Ríos;Rural;16,002;14,513;899;590;9,116;8,349;464;303;6,886;6,164;435;287;17,594;17,183;327;84;10,025;9,790;194;41;7,569;7,393;133;43;17,272;17,137;75;60;9,890;9,809;43;38;7,382;7,328;32;22
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2618;595;Provincia;Cochabamba;Mizque;;Mizque;36,181;30,501;4,571;1,109;18,102;15,410;2,153;539;18,079;15,091;2,418;570;35,806;34,032;1,484;290;17,846;16,964;732;150;17,960;17,068;752;140;36,708;36,166;373;169;18,583;18,280;212;91;18,125;17,886;161;78
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2619;596;Provincia;Cochabamba;Mizque;;Urbana;2,677;2,475;159;43;1,222;1,123;76;23;1,455;1,352;83;20;3,487;3,402;77;8;1,628;1,581;43;4;1,859;1,821;34;4;6,144;6,102;18;24;2,918;2,892;10;16;3,226;3,210;8;8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2620;597;Provincia;Cochabamba;Mizque;;Rural;33,504;28,026;4,412;1,066;16,880;14,287;2,077;516;16,624;13,739;2,335;550;32,319;30,630;1,407;282;16,218;15,383;689;146;16,101;15,247;718;136;30,564;30,064;355;145;15,665;15,388;202;75;14,899;14,676;153;70
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2621;598;Municipio/TIOC;Cochabamba;Mizque;Mizque;Mizque;21,372;18,758;2,033;581;10,761;9,554;910;297;10,611;9,204;1,123;284;19,864;19,042;721;101;9,964;9,553;364;47;9,900;9,489;357;54;19,896;19,722;80;94;9,952;9,858;42;52;9,944;9,864;38;42
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2622;599;Municipio/TIOC;Cochabamba;Mizque;Mizque;Urbana;2,677;2,475;159;43;1,222;1,123;76;23;1,455;1,352;83;20;3,487;3,402;77;8;1,628;1,581;43;4;1,859;1,821;34;4;6,144;6,102;18;24;2,918;2,892;10;16;3,226;3,210;8;8
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2623;600;Municipio/TIOC;Cochabamba;Mizque;Mizque;Rural;18,695;16,283;1,874;538;9,539;8,431;834;274;9,156;7,852;1,040;264;16,377;15,640;644;93;8,336;7,972;321;43;8,041;7,668;323;50;13,752;13,620;62;70;7,034;6,966;32;36;6,718;6,654;30;34
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2624;601;Municipio/TIOC;Cochabamba;Mizque;Vila Vila;Vila Vila;4,591;3,974;450;167;2,295;2,003;215;77;2,296;1,971;235;90;5,459;5,072;327;60;2,674;2,479;161;34;2,785;2,593;166;26;5,244;4,996;221;27;2,643;2,504;130;9;2,601;2,492;91;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2625;602;Municipio/TIOC;Cochabamba;Mizque;Vila Vila;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2626;603;Municipio/TIOC;Cochabamba;Mizque;Vila Vila;Rural;4,591;3,974;450;167;2,295;2,003;215;77;2,296;1,971;235;90;5,459;5,072;327;60;2,674;2,479;161;34;2,785;2,593;166;26;5,244;4,996;221;27;2,643;2,504;130;9;2,601;2,492;91;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2627;604;Municipio/TIOC;Cochabamba;Mizque;Alalay;Alalay;4,931;3,614;1,069;248;2,493;1,800;579;114;2,438;1,814;490;134;3,447;3,252;170;25;1,738;1,633;94;11;1,709;1,619;76;14;3,512;3,479;16;17;1,860;1,841;9;10;1,652;1,638;7;7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2628;605;Municipio/TIOC;Cochabamba;Mizque;Alalay;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2629;606;Municipio/TIOC;Cochabamba;Mizque;Alalay;Rural;4,931;3,614;1,069;248;2,493;1,800;579;114;2,438;1,814;490;134;3,447;3,252;170;25;1,738;1,633;94;11;1,709;1,619;76;14;3,512;3,479;16;17;1,860;1,841;9;10;1,652;1,638;7;7
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2630;607;Municipio/TIOC;Cochabamba;Mizque;TIOC-Raqaypampa;TIOC-Raqaypampa;5,287;4,155;1,019;113;2,553;2,053;449;51;2,734;2,102;570;62;7,036;6,666;266;104;3,470;3,299;113;58;3,566;3,367;153;46;8,056;7,969;56;31;4,128;4,077;31;20;3,928;3,892;25;11
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2631;608;Municipio/TIOC;Cochabamba;Mizque;TIOC-Raqaypampa;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2632;609;Municipio/TIOC;Cochabamba;Mizque;TIOC-Raqaypampa;Rural;5,287;4,155;1,019;113;2,553;2,053;449;51;2,734;2,102;570;62;7,036;6,666;266;104;3,470;3,299;113;58;3,566;3,367;153;46;8,056;7,969;56;31;4,128;4,077;31;20;3,928;3,892;25;11
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2633;610;Provincia;Cochabamba;Punata;;Punata;47,735;45,236;1,490;1,009;22,291;21,207;633;451;25,444;24,029;857;558;54,655;53,878;643;134;25,870;25,456;336;78;28,785;28,422;307;56;62,010;61,516;326;168;29,641;29,383;178;80;32,369;32,133;148;88
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2634;611;Provincia;Cochabamba;Punata;;Urbana;16,771;15,818;618;335;7,887;7,445;290;152;8,884;8,373;328;183;28,106;27,776;267;63;13,207;13,034;135;38;14,899;14,742;132;25;37,466;37,191;203;72;17,758;17,615;109;34;19,708;19,576;94;38
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2635;612;Provincia;Cochabamba;Punata;;Rural;30,964;29,418;872;674;14,404;13,762;343;299;16,560;15,656;529;375;26,549;26,102;376;71;12,663;12,422;201;40;13,886;13,680;175;31;24,544;24,325;123;96;11,883;11,768;69;46;12,661;12,557;54;50
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2636;613;Municipio/TIOC;Cochabamba;Punata;Punata;Punata;26,140;24,861;786;493;12,148;11,592;337;219;13,992;13,269;449;274;28,887;28,512;318;57;13,476;13,274;170;32;15,411;15,238;148;25;35,248;34,987;197;64;16,528;16,391;105;32;18,720;18,596;92;32
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2637;614;Municipio/TIOC;Cochabamba;Punata;Punata;Urbana;14,742;13,940;521;281;6,897;6,530;239;128;7,845;7,410;282;153;19,601;19,393;174;34;9,090;8,977;91;22;10,511;10,416;83;12;26,563;26,364;164;35;12,440;12,335;88;17;14,123;14,029;76;18
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2638;615;Municipio/TIOC;Cochabamba;Punata;Punata;Rural;11,398;10,921;265;212;5,251;5,062;98;91;6,147;5,859;167;121;9,286;9,119;144;23;4,386;4,297;79;10;4,900;4,822;65;13;8,685;8,623;33;29;4,088;4,056;17;15;4,597;4,567;16;14
BOLIVIA: NACIMIENTOS INSCRITOS EN EL SERVICIO DE REGISTRO CIVIL POR SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2639;616;Municipio/TIOC;Cochabamba;Punata;Villa Rivero;Villa Rivero;5,857;5,515;211;131;2,752;2,619;78;55;3,105;2,896;133;76;8,135;7,999;120;16;3,996;3,920;65;11;4,139;4,079;55;5;8,599;8,483;63;53;4,197;4,137;37;23;4,402;4,346;26;30
