cuarto;no;nivel;departamento;provincia;municipio_tioc;area;2001_total_mujeres;2001_mujeres_sin_informacion;2001_mujeres_sin_hijos;2001_mujeres_con_hijos;2001_hijos_nacidos_vivos;2001_paridez_media;2012_total_mujeres;2012_mujeres_sin_informacion;2012_mujeres_sin_hijos;2012_mujeres_con_hijos;2012_hijos_nacidos_vivos;2012_paridez_media;2024_total_mujeres;2024_mujeres_sin_informacion;2024_mujeres_sin_hijos;2024_mujeres_con_hijos;2024_hijos_nacidos_vivos;2024_paridez_media;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7445;5422;Municipio;Oruro;Carangas;Choque Cota;35 a 39;33;0;2;31;169;5.1;53;7;1;45;203;4.4;86;10;5;71;205;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7446;5423;Municipio;Oruro;Carangas;Choque Cota;40 a 44;38;1;3;34;206;5.6;48;4;2;42;201;4.6;69;7;3;59;170;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7447;5424;Municipio;Oruro;Carangas;Choque Cota;45 a 49;47;0;1;46;316;6.7;43;6;0;37;195;5.3;90;6;4;80;295;3.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7448;5425;Provincia;Oruro;Sajama;;Sajama;1,935;306;350;1,279;5,401;3.3;2,102;500;266;1,336;4,512;2.8;2,992;476;722;1,794;4,672;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7449;5426;Provincia;Oruro;Sajama;;15 a 19;382;157;179;46;59;0.3;386;200;126;60;70;0.4;438;144;275;19;24;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7450;5427;Provincia;Oruro;Sajama;;20 a 24;313;52;75;186;344;1.3;316;102;50;164;269;1.3;433;98;157;178;250;0.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7451;5428;Provincia;Oruro;Sajama;;25 a 29;292;33;44;215;578;2.2;312;50;30;232;538;2.1;507;83;122;302;568;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7452;5429;Provincia;Oruro;Sajama;;30 a 34;252;21;20;211;777;3.4;307;51;27;229;690;2.7;407;50;57;300;692;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7453;5430;Provincia;Oruro;Sajama;;35 a 39;253;10;13;230;1,135;4.7;292;30;13;249;947;3.6;421;48;42;331;899;2.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7454;5431;Provincia;Oruro;Sajama;;40 a 44;226;18;13;195;1,165;5.6;264;39;14;211;970;4.3;385;26;41;318;1,044;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7455;5432;Provincia;Oruro;Sajama;;45 a 49;217;15;6;196;1,343;6.6;225;28;6;191;1,028;5.2;401;27;28;346;1,195;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7456;5433;Provincia;Oruro;Sajama;;Urbana;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7457;5434;Provincia;Oruro;Sajama;;15 a 19;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7458;5435;Provincia;Oruro;Sajama;;20 a 24;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7459;5436;Provincia;Oruro;Sajama;;25 a 29;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7460;5437;Provincia;Oruro;Sajama;;30 a 34;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7461;5438;Provincia;Oruro;Sajama;;35 a 39;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7462;5439;Provincia;Oruro;Sajama;;40 a 44;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7463;5440;Provincia;Oruro;Sajama;;45 a 49;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7464;5441;Provincia;Oruro;Sajama;;Rural;1,935;306;350;1,279;5,401;3.3;2,102;500;266;1,336;4,512;2.8;2,992;476;722;1,794;4,672;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7465;5442;Provincia;Oruro;Sajama;;15 a 19;382;157;179;46;59;0.3;386;200;126;60;70;0.4;438;144;275;19;24;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7466;5443;Provincia;Oruro;Sajama;;20 a 24;313;52;75;186;344;1.3;316;102;50;164;269;1.3;433;98;157;178;250;0.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7467;5444;Provincia;Oruro;Sajama;;25 a 29;292;33;44;215;578;2.2;312;50;30;232;538;2.1;507;83;122;302;568;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7468;5445;Provincia;Oruro;Sajama;;30 a 34;252;21;20;211;777;3.4;307;51;27;229;690;2.7;407;50;57;300;692;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7469;5446;Provincia;Oruro;Sajama;;35 a 39;253;10;13;230;1,135;4.7;292;30;13;249;947;3.6;421;48;42;331;899;2.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7470;5447;Provincia;Oruro;Sajama;;40 a 44;226;18;13;195;1,165;5.6;264;39;14;211;970;4.3;385;26;41;318;1,044;2.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7471;5448;Provincia;Oruro;Sajama;;45 a 49;217;15;6;196;1,343;6.6;225;28;6;191;1,028;5.2;401;27;28;346;1,195;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7472;5449;Municipio;Oruro;Sajama;Curahuara de Carangas;Curahuara de Carangas;1,069;196;200;673;2,887;3.3;934;211;136;587;1,991;2.8;1,678;243;427;1,008;2,621;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7473;5450;Municipio;Oruro;Sajama;Curahuara de Carangas;15 a 19;227;97;109;21;29;0.2;182;85;68;29;30;0.3;229;66;155;8;10;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7474;5451;Municipio;Oruro;Sajama;Curahuara de Carangas;20 a 24;194;37;39;118;217;1.4;150;37;28;85;146;1.3;234;51;86;97;146;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7475;5452;Municipio;Oruro;Sajama;Curahuara de Carangas;25 a 29;167;20;24;123;337;2.3;128;19;12;97;223;2.0;280;36;71;173;329;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7476;5453;Municipio;Oruro;Sajama;Curahuara de Carangas;30 a 34;122;10;9;103;373;3.3;139;25;13;101;304;2.7;228;28;40;160;356;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7477;5454;Municipio;Oruro;Sajama;Curahuara de Carangas;35 a 39;129;6;7;116;628;5.1;131;12;10;109;418;3.5;266;34;31;201;549;2.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7478;5455;Municipio;Oruro;Sajama;Curahuara de Carangas;40 a 44;123;14;8;101;614;5.6;100;19;2;79;373;4.6;219;17;29;173;548;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7479;5456;Municipio;Oruro;Sajama;Curahuara de Carangas;45 a 49;107;12;4;91;689;7.3;104;14;3;87;497;5.5;222;11;15;196;683;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7480;5457;Municipio;Oruro;Sajama;Curahuara de Carangas;Urbana;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7481;5458;Municipio;Oruro;Sajama;Curahuara de Carangas;15 a 19;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7482;5459;Municipio;Oruro;Sajama;Curahuara de Carangas;20 a 24;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7483;5460;Municipio;Oruro;Sajama;Curahuara de Carangas;25 a 29;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7484;5461;Municipio;Oruro;Sajama;Curahuara de Carangas;30 a 34;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7485;5462;Municipio;Oruro;Sajama;Curahuara de Carangas;35 a 39;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7486;5463;Municipio;Oruro;Sajama;Curahuara de Carangas;40 a 44;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7487;5464;Municipio;Oruro;Sajama;Curahuara de Carangas;45 a 49;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7488;5465;Municipio;Oruro;Sajama;Curahuara de Carangas;Rural;1,069;196;200;673;2,887;3.3;934;211;136;587;1,991;2.8;1,678;243;427;1,008;2,621;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7489;5466;Municipio;Oruro;Sajama;Curahuara de Carangas;15 a 19;227;97;109;21;29;0.2;182;85;68;29;30;0.3;229;66;155;8;10;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7490;5467;Municipio;Oruro;Sajama;Curahuara de Carangas;20 a 24;194;37;39;118;217;1.4;150;37;28;85;146;1.3;234;51;86;97;146;0.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7491;5468;Municipio;Oruro;Sajama;Curahuara de Carangas;25 a 29;167;20;24;123;337;2.3;128;19;12;97;223;2.0;280;36;71;173;329;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7492;5469;Municipio;Oruro;Sajama;Curahuara de Carangas;30 a 34;122;10;9;103;373;3.3;139;25;13;101;304;2.7;228;28;40;160;356;1.8;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7493;5470;Municipio;Oruro;Sajama;Curahuara de Carangas;35 a 39;129;6;7;116;628;5.1;131;12;10;109;418;3.5;266;34;31;201;549;2.4;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7494;5471;Municipio;Oruro;Sajama;Curahuara de Carangas;40 a 44;123;14;8;101;614;5.6;100;19;2;79;373;4.6;219;17;29;173;548;2.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7495;5472;Municipio;Oruro;Sajama;Curahuara de Carangas;45 a 49;107;12;4;91;689;7.3;104;14;3;87;497;5.5;222;11;15;196;683;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7496;5473;Municipio;Oruro;Sajama;Turco;Turco;866;110;150;606;2,514;3.3;1,168;289;130;749;2,521;2.9;1,314;233;295;786;2,051;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7497;5474;Municipio;Oruro;Sajama;Turco;15 a 19;155;60;70;25;30;0.3;204;115;58;31;40;0.4;209;78;120;11;14;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7498;5475;Municipio;Oruro;Sajama;Turco;20 a 24;119;15;36;68;127;1.2;166;65;22;79;123;1.2;199;47;71;81;104;0.7;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7499;5476;Municipio;Oruro;Sajama;Turco;25 a 29;125;13;20;92;241;2.2;184;31;18;135;315;2.1;227;47;51;129;239;1.3;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7500;5477;Municipio;Oruro;Sajama;Turco;30 a 34;130;11;11;108;404;3.4;168;26;14;128;386;2.7;179;22;17;140;336;2.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7501;5478;Municipio;Oruro;Sajama;Turco;35 a 39;124;4;6;114;507;4.2;161;18;3;140;529;3.7;155;14;11;130;350;2.5;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7502;5479;Municipio;Oruro;Sajama;Turco;40 a 44;103;4;5;94;551;5.6;164;20;12;132;597;4.1;166;9;12;145;496;3.2;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7503;5480;Municipio;Oruro;Sajama;Turco;45 a 49;110;3;2;105;654;6.1;121;14;3;104;531;5.0;179;16;13;150;512;3.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7504;5481;Municipio;Oruro;Sajama;Turco;Urbana;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7505;5482;Municipio;Oruro;Sajama;Turco;15 a 19;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7506;5483;Municipio;Oruro;Sajama;Turco;20 a 24;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7507;5484;Municipio;Oruro;Sajama;Turco;25 a 29;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7508;5485;Municipio;Oruro;Sajama;Turco;30 a 34;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7509;5486;Municipio;Oruro;Sajama;Turco;35 a 39;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7510;5487;Municipio;Oruro;Sajama;Turco;40 a 44;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7511;5488;Municipio;Oruro;Sajama;Turco;45 a 49;;;;;;;;;;;;;;;;;;;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7512;5489;Municipio;Oruro;Sajama;Turco;Rural;866;110;150;606;2,514;3.3;1,168;289;130;749;2,521;2.9;1,314;233;295;786;2,051;1.9;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7513;5490;Municipio;Oruro;Sajama;Turco;15 a 19;155;60;70;25;30;0.3;204;115;58;31;40;0.4;209;78;120;11;14;0.1;;
BOLIVIA: INDICADORES DE FECUNDIDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC), ÁREA Y GRUPO DE EDAD, CENSOS 2012 Y 7514;5491;Municipio;Oruro;Sajama;Turco;20 a 24;119;15;36;68;127;1.2;166;65;22;79;123;1.2;199;47;71;81;104;0.7;;
