cuadro;pregunta;no;nivel;departamento;provincia;municipio_tioc;area;2012_poblacion_total;2012_publico_acude;2012_publico_no_acude;2012_caja_de_salud_acude;2012_caja_de_salud_no_acude;2012_privado_acude;2012_privado_no_acude;2012_seguro_salud_privado_acude;2012_seguro_salud_privado_no_acude;2012_medico_tradicional_acude;2012_medico_tradicional_no_acude;2012_farmacia_o_automedica_acude;2012_farmacia_o_automedica_no_acude;2012_soluciones_caseras_acude;2012_soluciones_caseras_no_acude;2024_poblacion_total;2024_publico_acude;2024_publico_no_acude;2024_publico_sin_especificar;2024_caja_de_salud_acude;2024_caja_de_salud_no_acude;2024_caja_de_salud_sin_especificar;2024_privado_acude;2024_privado_no_acude;2024_privado_sin_especificar;2024_atencion_medica_a_domicilio_acude;2024_atencion_medica_a_domicilio_no_acude;2024_atencion_medica_a_domicilio_sin_especificar;2024_medico_tradicional_acude;2024_medico_tradicional_no_acude;2024_medico_tradicional_sin_especificar;2024_farmacia_o_automedica_acude;2024_farmacia_o_automedica_no_acude;2024_farmacia_o_automedica_sin_especificar;2024_soluciones_caseras_acude;2024_soluciones_caseras_no_acude;2024_soluciones_caseras_sin_especificar
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2672;a donde acuden las personas cuando tienen problemas de salud;650;Municipio/TIOC;Oruro;Cercado;Oruro;Urbana;264,943;147,051;117,892;71,222;193,721;47,089;217,854;31,513;233,430;28,430;236,513;138,922;126,021;115,196;149,747;298,257;201,065;96,035;1,157;81,819;215,214;1,224;86,737;210,281;1,239;21,885;275,129;1,243;78,779;218,228;1,250;164,822;132,188;1,247;202,878;94,132;1,247
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2673;a donde acuden las personas cuando tienen problemas de salud;651;Municipio/TIOC;Oruro;Cercado;Oruro;Rural;;;;;;;;;;;;;;;;93;74;19;0;13;80;0;24;69;0;6;87;0;63;30;0;60;33;0;90;3;0
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2674;a donde acuden las personas cuando tienen problemas de salud;652;Municipio/TIOC;Oruro;Cercado;Caracollo;Caracollo;23,115;14,926;8,189;2,782;20,333;1,614;21,501;1,077;22,038;6,262;16,853;10,158;12,957;12,802;10,313;22,850;17,465;5,203;182;3,998;18,653;199;3,710;18,938;202;2,042;20,606;202;9,419;13,228;203;11,580;11,067;203;16,866;5,781;203
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2675;a donde acuden las personas cuando tienen problemas de salud;653;Municipio/TIOC;Oruro;Cercado;Caracollo;Urbana;5,356;4,060;1,296;960;4,396;437;4,919;276;5,080;1,316;4,040;3,065;2,291;2,838;2,518;7,550;5,539;1,970;41;1,975;5,534;41;1,827;5,682;41;647;6,862;41;3,205;4,304;41;4,609;2,900;41;5,765;1,744;41
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2676;a donde acuden las personas cuando tienen problemas de salud;654;Municipio/TIOC;Oruro;Cercado;Caracollo;Rural;17,759;10,866;6,893;1,822;15,937;1,177;16,582;801;16,958;4,946;12,813;7,093;10,666;9,964;7,795;15,300;11,926;3,233;141;2,023;13,119;158;1,883;13,256;161;1,395;13,744;161;6,214;8,924;162;6,971;8,167;162;11,101;4,037;162
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2677;a donde acuden las personas cuando tienen problemas de salud;655;Municipio/TIOC;Oruro;Cercado;El Choro;El Choro;8,725;6,511;2,214;481;8,244;310;8,415;137;8,588;2,468;6,257;3,798;4,927;5,872;2,853;9,997;8,572;1,130;295;522;9,182;293;587;9,116;294;698;9,005;294;2,810;6,892;295;3,600;6,100;297;6,864;2,836;297
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2678;a donde acuden las personas cuando tienen problemas de salud;656;Municipio/TIOC;Oruro;Cercado;El Choro;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2679;a donde acuden las personas cuando tienen problemas de salud;657;Municipio/TIOC;Oruro;Cercado;El Choro;Rural;8,725;6,511;2,214;481;8,244;310;8,415;137;8,588;2,468;6,257;3,798;4,927;5,872;2,853;9,997;8,572;1,130;295;522;9,182;293;587;9,116;294;698;9,005;294;2,810;6,892;295;3,600;6,100;297;6,864;2,836;297
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2680;a donde acuden las personas cuando tienen problemas de salud;658;Municipio/TIOC;Oruro;Cercado;Paria;Paria;12,846;7,755;5,091;1,407;11,439;1,061;11,785;830;12,016;3,088;9,758;6,486;6,360;7,367;5,479;15,764;12,477;3,164;123;1,696;13,936;132;2,412;13,219;133;1,707;13,924;133;5,016;10,615;133;7,539;8,092;133;12,489;3,143;132
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2681;a donde acuden las personas cuando tienen problemas de salud;659;Municipio/TIOC;Oruro;Cercado;Paria;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2682;a donde acuden las personas cuando tienen problemas de salud;660;Municipio/TIOC;Oruro;Cercado;Paria;Rural;12,846;7,755;5,091;1,407;11,439;1,061;11,785;830;12,016;3,088;9,758;6,486;6,360;7,367;5,479;15,764;12,477;3,164;123;1,696;13,936;132;2,412;13,219;133;1,707;13,924;133;5,016;10,615;133;7,539;8,092;133;12,489;3,143;132
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2683;a donde acuden las personas cuando tienen problemas de salud;661;Provincia;Oruro;Abaroa;;Abaroa;32,969;19,699;13,270;3,398;29,571;1,459;31,510;1,069;31,900;10,271;22,698;12,463;20,506;15,851;17,118;40,588;31,213;9,018;357;3,970;36,249;369;4,185;36,032;371;3,501;36,716;371;16,524;23,685;379;19,011;21,198;379;30,600;9,614;374
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2684;a donde acuden las personas cuando tienen problemas de salud;662;Provincia;Oruro;Abaroa;;Urbana;12,684;8,182;4,502;2,022;10,662;817;11,867;627;12,057;2,226;10,458;7,036;5,648;5,601;7,083;12,969;9,691;3,207;71;2,126;10,769;74;2,187;10,709;73;988;11,908;73;5,054;7,841;74;8,353;4,542;74;9,925;2,972;72
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2685;a donde acuden las personas cuando tienen problemas de salud;663;Provincia;Oruro;Abaroa;;Rural;20,285;11,517;8,768;1,376;18,909;642;19,643;442;19,843;8,045;12,240;5,427;14,858;10,250;10,035;27,619;21,522;5,811;286;1,844;25,480;295;1,998;25,323;298;2,513;24,808;298;11,470;15,844;305;10,658;16,656;305;20,675;6,642;302
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2686;a donde acuden las personas cuando tienen problemas de salud;664;Municipio/TIOC;Oruro;Abaroa;Challapata;Challapata;28,918;16,668;12,250;2,874;26,044;1,205;27,713;886;28,032;8,582;20,336;10,554;18,364;12,882;16,036;35,427;26,886;8,248;293;3,318;31,804;305;3,527;31,593;307;2,892;32,227;308;14,411;20,702;314;16,873;18,240;314;26,817;8,300;310
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2687;a donde acuden las personas cuando tienen problemas de salud;665;Municipio/TIOC;Oruro;Abaroa;Challapata;Urbana;12,684;8,182;4,502;2,022;10,662;817;11,867;627;12,057;2,226;10,458;7,036;5,648;5,601;7,083;12,969;9,691;3,207;71;2,126;10,769;74;2,187;10,709;73;988;11,908;73;5,054;7,841;74;8,353;4,542;74;9,925;2,972;72
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2688;a donde acuden las personas cuando tienen problemas de salud;666;Municipio/TIOC;Oruro;Abaroa;Challapata;Rural;16,234;8,486;7,748;852;15,382;388;15,846;259;15,975;6,356;9,878;3,518;12,716;7,281;8,953;22,458;17,195;5,041;222;1,192;21,035;231;1,340;20,884;234;1,904;20,319;235;9,357;12,861;240;8,520;13,698;240;16,892;5,328;238
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2689;a donde acuden las personas cuando tienen problemas de salud;667;Municipio/TIOC;Oruro;Abaroa;Santuario de Quillacas;Santuario de Quillacas;4,051;3,031;1,020;524;3,527;254;3,797;183;3,868;1,689;2,362;1,909;2,142;2,969;1,082;5,161;4,327;770;64;652;4,445;64;658;4,439;64;609;4,489;63;2,113;2,983;65;2,138;2,958;65;3,783;1,314;64
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2690;a donde acuden las personas cuando tienen problemas de salud;668;Municipio/TIOC;Oruro;Abaroa;Santuario de Quillacas;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2691;a donde acuden las personas cuando tienen problemas de salud;669;Municipio/TIOC;Oruro;Abaroa;Santuario de Quillacas;Rural;4,051;3,031;1,020;524;3,527;254;3,797;183;3,868;1,689;2,362;1,909;2,142;2,969;1,082;5,161;4,327;770;64;652;4,445;64;658;4,439;64;609;4,489;63;2,113;2,983;65;2,138;2,958;65;3,783;1,314;64
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2692;a donde acuden las personas cuando tienen problemas de salud;670;Provincia;Oruro;Carangas;;Carangas;11,071;7,430;3,641;1,002;10,069;686;10,385;374;10,697;4,035;7,036;3,620;7,451;6,791;4,280;18,605;15,902;2,479;224;1,742;16,623;240;1,990;16,375;240;1,552;16,814;239;7,919;10,447;239;7,701;10,664;240;13,929;4,438;238
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2693;a donde acuden las personas cuando tienen problemas de salud;671;Provincia;Oruro;Carangas;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2694;a donde acuden las personas cuando tienen problemas de salud;672;Provincia;Oruro;Carangas;;Rural;11,071;7,430;3,641;1,002;10,069;686;10,385;374;10,697;4,035;7,036;3,620;7,451;6,791;4,280;18,605;15,902;2,479;224;1,742;16,623;240;1,990;16,375;240;1,552;16,814;239;7,919;10,447;239;7,701;10,664;240;13,929;4,438;238
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2695;a donde acuden las personas cuando tienen problemas de salud;673;Municipio/TIOC;Oruro;Carangas;Corque;Corque;9,221;5,953;3,268;741;8,480;570;8,651;284;8,937;3,013;6,208;2,665;6,556;5,571;3,650;16,101;13,673;2,233;195;1,412;14,479;210;1,625;14,265;211;1,186;14,705;210;6,614;9,277;210;6,586;9,305;210;12,016;3,877;208
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2696;a donde acuden las personas cuando tienen problemas de salud;674;Municipio/TIOC;Oruro;Carangas;Corque;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2697;a donde acuden las personas cuando tienen problemas de salud;675;Municipio/TIOC;Oruro;Carangas;Corque;Rural;9,221;5,953;3,268;741;8,480;570;8,651;284;8,937;3,013;6,208;2,665;6,556;5,571;3,650;16,101;13,673;2,233;195;1,412;14,479;210;1,625;14,265;211;1,186;14,705;210;6,614;9,277;210;6,586;9,305;210;12,016;3,877;208
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2698;a donde acuden las personas cuando tienen problemas de salud;676;Municipio/TIOC;Oruro;Carangas;Choquecota;Choquecota;1,850;1,477;373;261;1,589;116;1,734;90;1,760;1,022;828;955;895;1,220;630;2,504;2,229;246;29;330;2,144;30;365;2,110;29;366;2,109;29;1,305;1,170;29;1,115;1,359;30;1,913;561;30
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2699;a donde acuden las personas cuando tienen problemas de salud;677;Municipio/TIOC;Oruro;Carangas;Choquecota;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2700;a donde acuden las personas cuando tienen problemas de salud;678;Municipio/TIOC;Oruro;Carangas;Choquecota;Rural;1,850;1,477;373;261;1,589;116;1,734;90;1,760;1,022;828;955;895;1,220;630;2,504;2,229;246;29;330;2,144;30;365;2,110;29;366;2,109;29;1,305;1,170;29;1,115;1,359;30;1,913;561;30
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2701;a donde acuden las personas cuando tienen problemas de salud;679;Provincia;Oruro;Sajama;;Sajama;9,391;6,227;3,164;1,328;8,063;659;8,732;400;8,991;3,232;6,159;3,615;5,776;5,995;3,396;12,486;10,373;1,999;114;1,121;11,247;118;1,521;10,848;117;1,221;11,147;118;5,968;6,400;118;4,745;7,623;118;9,733;2,633;120
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2702;a donde acuden las personas cuando tienen problemas de salud;680;Provincia;Oruro;Sajama;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2703;a donde acuden las personas cuando tienen problemas de salud;681;Provincia;Oruro;Sajama;;Rural;9,391;6,227;3,164;1,328;8,063;659;8,732;400;8,991;3,232;6,159;3,615;5,776;5,995;3,396;12,486;10,373;1,999;114;1,121;11,247;118;1,521;10,848;117;1,221;11,147;118;5,968;6,400;118;4,745;7,623;118;9,733;2,633;120
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2704;a donde acuden las personas cuando tienen problemas de salud;682;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Curahuara de Carangas;4,184;2,519;1,665;730;3,454;281;3,903;240;3,944;1,655;2,529;1,516;2,668;2,502;1,682;6,683;5,520;1,114;49;597;6,034;52;763;5,870;50;699;5,932;52;3,576;3,055;52;2,781;3,850;52;5,421;1,209;53
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2705;a donde acuden las personas cuando tienen problemas de salud;683;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN QUE POR PROBLEMAS DE SALUD ACUDE, NO ACUDE Y SIN ESPECIFICAR, A ESTABLECIMIENTOS DE SALUD O ATIENDE SU SALUD CON REMEDIOS CASEROS O AUTOMEDICACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y AREA, CENSOS 2012 Y 2706;a donde acuden las personas cuando tienen problemas de salud;684;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Rural;4,184;2,519;1,665;730;3,454;281;3,903;240;3,944;1,655;2,529;1,516;2,668;2,502;1,682;6,683;5,520;1,114;49;597;6,034;52;763;5,870;50;699;5,932;52;3,576;3,055;52;2,781;3,850;52;5,421;1,209;53
