cuadro;no;nivel;departamento;provincia;municipio_tioc;area;poblacion_total;poblacion_registrado_o_afiliado_o_ninguno;sus;cns_cp_cc_cbp_cossmil_su_otros;privado;ninguno;sin_especificar;hombres_total;hombres_poblacion_registrado_o_afiliado_o_ninguno;hombres_sus;hombres_cns_cp_cc_cbp_cossmil_su_otros;hombres_privado;hombres_ninguno;hombres_sin_especificar;mujeres_total;mujeres_poblacion_registrado_o_afiliado_o_ninguno;mujeres_sus;mujeres_cns_cp_cc_cbp_cossmil_su_otros;mujeres_privado;mujeres_ninguno;mujeres_sin_especificar
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2865;842;Municipio;Potosí;Cornelio Saavedra;Tacobamba;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2866;843;Municipio;Potosí;Cornelio Saavedra;Tacobamba;Rural;14,201;13,817;9,405;1,284;103;3,025;384;7,756;7,547;4,964;680;64;1,839;209;6,445;6,270;4,441;604;39;1,186;175
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2867;844;Provincia;Potosí;Chayanta;;Chayanta;99,243;95,747;76,791;5,212;494;13,250;3,496;53,681;51,769;40,734;2,821;292;7,922;1,912;45,562;43,978;36,057;2,391;202;5,328;1,584
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2868;845;Provincia;Potosí;Chayanta;;Urbana;7,733;7,586;4,402;2,236;66;882;147;4,148;4,063;2,194;1,291;31;547;85;3,585;3,523;2,208;945;35;335;62
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2869;846;Provincia;Potosí;Chayanta;;Rural;91,510;88,161;72,389;2,976;428;12,368;3,349;49,533;47,706;38,540;1,530;261;7,375;1,827;41,977;40,455;33,849;1,446;167;4,993;1,522
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2870;847;Municipio;Potosí;Chayanta;Colquechaca;Colquechaca;15,797;15,116;10,153;2,406;118;2,439;681;8,883;8,501;5,567;1,385;63;1,486;382;6,914;6,615;4,586;1,021;55;953;299
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2871;848;Municipio;Potosí;Chayanta;Colquechaca;Urbana;5,493;5,377;2,671;1,968;49;689;116;3,252;3,180;1,521;1,179;29;451;72;2,241;2,197;1,150;789;20;238;44
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2872;849;Municipio;Potosí;Chayanta;Colquechaca;Rural;10,304;9,739;7,482;438;69;1,750;565;5,631;5,321;4,046;206;34;1,035;310;4,673;4,418;3,436;232;35;715;255
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2873;850;Municipio;Potosí;Chayanta;Ravelo;Ravelo;16,564;15,869;13,199;422;118;2,130;695;8,741;8,338;6,795;221;72;1,250;403;7,823;7,531;6,404;201;46;880;292
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2874;851;Municipio;Potosí;Chayanta;Ravelo;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2875;852;Municipio;Potosí;Chayanta;Ravelo;Rural;16,564;15,869;13,199;422;118;2,130;695;8,741;8,338;6,795;221;72;1,250;403;7,823;7,531;6,404;201;46;880;292
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2876;853;Municipio;Potosí;Chayanta;Pocoata;Pocoata;32,169;31,219;25,714;1,576;148;3,781;950;16,715;16,233;13,180;783;86;2,184;482;15,454;14,986;12,534;793;62;1,597;468
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2877;854;Municipio;Potosí;Chayanta;Pocoata;Urbana;2,240;2,209;1,731;268;17;193;31;896;883;673;112;2;96;13;1,344;1,326;1,058;156;15;97;18
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2878;855;Municipio;Potosí;Chayanta;Pocoata;Rural;29,929;29,010;23,983;1,308;131;3,588;919;15,819;15,350;12,507;671;84;2,088;469;14,110;13,660;11,476;637;47;1,500;450
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2879;856;Municipio;Potosí;Chayanta;Ocurí;Ocurí;14,190;13,679;11,056;435;53;2,135;511;8,047;7,767;6,133;246;32;1,356;280;6,143;5,912;4,923;189;21;779;231
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2880;857;Municipio;Potosí;Chayanta;Ocurí;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2881;858;Municipio;Potosí;Chayanta;Ocurí;Rural;14,190;13,679;11,056;435;53;2,135;511;8,047;7,767;6,133;246;32;1,356;280;6,143;5,912;4,923;189;21;779;231
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2882;859;Municipio;Potosí;Chayanta;San Pedro de Macha;San Pedro de Macha;20,523;19,864;16,669;373;57;2,765;659;11,295;10,930;9,059;186;39;1,646;365;9,228;8,934;7,610;187;18;1,119;294
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2883;860;Municipio;Potosí;Chayanta;San Pedro de Macha;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2884;861;Municipio;Potosí;Chayanta;San Pedro de Macha;Rural;20,523;19,864;16,669;373;57;2,765;659;11,295;10,930;9,059;186;39;1,646;365;9,228;8,934;7,610;187;18;1,119;294
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2885;862;Provincia;Potosí;Charcas;;Charcas;38,738;37,695;31,874;1,635;116;4,070;1,043;20,370;19,803;16,467;883;71;2,382;567;18,368;17,892;15,407;752;45;1,688;476
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2886;863;Provincia;Potosí;Charcas;;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2887;864;Provincia;Potosí;Charcas;;Rural;38,738;37,695;31,874;1,635;116;4,070;1,043;20,370;19,803;16,467;883;71;2,382;567;18,368;17,892;15,407;752;45;1,688;476
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2888;865;Municipio;Potosí;Charcas;San Pedro;San Pedro;28,145;27,369;23,058;1,176;86;3,049;776;14,917;14,509;12,043;628;53;1,785;408;13,228;12,860;11,015;548;33;1,264;368
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2889;866;Municipio;Potosí;Charcas;San Pedro;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2890;867;Municipio;Potosí;Charcas;San Pedro;Rural;28,145;27,369;23,058;1,176;86;3,049;776;14,917;14,509;12,043;628;53;1,785;408;13,228;12,860;11,015;548;33;1,264;368
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2891;868;Municipio;Potosí;Charcas;Toro Toro;Toro Toro;10,593;10,326;8,816;459;30;1,021;267;5,453;5,294;4,424;255;18;597;159;5,140;5,032;4,392;204;12;424;108
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2892;869;Municipio;Potosí;Charcas;Toro Toro;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2893;870;Municipio;Potosí;Charcas;Toro Toro;Rural;10,593;10,326;8,816;459;30;1,021;267;5,453;5,294;4,424;255;18;597;159;5,140;5,032;4,392;204;12;424;108
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2894;871;Provincia;Potosí;Nor Chichas;;Nor Chichas;38,058;37,326;26,914;4,828;179;5,405;732;18,675;18,298;12,986;2,390;90;2,832;377;19,383;19,028;13,928;2,438;89;2,573;355
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2895;872;Provincia;Potosí;Nor Chichas;;Urbana;3,149;3,083;2,083;718;35;247;66;1,419;1,390;932;307;13;138;29;1,730;1,693;1,151;411;22;109;37
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2896;873;Provincia;Potosí;Nor Chichas;;Rural;34,909;34,243;24,831;4,110;144;5,158;666;17,256;16,908;12,054;2,083;77;2,694;348;17,653;17,335;12,777;2,027;67;2,464;318
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2897;874;Municipio;Potosí;Nor Chichas;Cotagaita;Cotagaita;28,369;27,808;19,512;4,350;140;3,806;561;14,025;13,724;9,478;2,155;69;2,022;301;14,344;14,084;10,034;2,195;71;1,784;260
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2898;875;Municipio;Potosí;Nor Chichas;Cotagaita;Urbana;3,149;3,083;2,083;718;35;247;66;1,419;1,390;932;307;13;138;29;1,730;1,693;1,151;411;22;109;37
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2899;876;Municipio;Potosí;Nor Chichas;Cotagaita;Rural;25,220;24,725;17,429;3,632;105;3,559;495;12,606;12,334;8,546;1,848;56;1,884;272;12,614;12,391;8,883;1,784;49;1,675;223
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2900;877;Municipio;Potosí;Nor Chichas;Vitichi;Vitichi;9,689;9,518;7,402;478;39;1,599;171;4,650;4,574;3,508;235;21;810;76;5,039;4,944;3,894;243;18;789;95
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2901;878;Municipio;Potosí;Nor Chichas;Vitichi;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2902;879;Municipio;Potosí;Nor Chichas;Vitichi;Rural;9,689;9,518;7,402;478;39;1,599;171;4,650;4,574;3,508;235;21;810;76;5,039;4,944;3,894;243;18;789;95
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2903;880;Provincia;Potosí;Alonso de Ibáñez;;Alonso de Ibáñez;25,386;24,691;20,831;1,349;56;2,455;695;13,669;13,284;11,072;673;32;1,507;385;11,717;11,407;9,759;676;24;948;310
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2904;881;Provincia;Potosí;Alonso de Ibáñez;;Urbana;2,286;2,269;1,580;468;7;214;17;1,028;1,020;674;218;5;123;8;1,258;1,249;906;250;2;91;9
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2905;882;Provincia;Potosí;Alonso de Ibáñez;;Rural;23,100;22,422;19,251;881;49;2,241;678;12,641;12,264;10,398;455;27;1,384;377;10,459;10,158;8,853;426;22;857;301
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2906;883;Municipio;Potosí;Alonso de Ibáñez;Sacaca;Sacaca;17,007;16,504;13,940;955;34;1,575;503;9,060;8,786;7,343;469;22;952;274;7,947;7,718;6,597;486;12;623;229
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2907;884;Municipio;Potosí;Alonso de Ibáñez;Sacaca;Urbana;2,286;2,269;1,580;468;7;214;17;1,028;1,020;674;218;5;123;8;1,258;1,249;906;250;2;91;9
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2908;885;Municipio;Potosí;Alonso de Ibáñez;Sacaca;Rural;14,721;14,235;12,360;487;27;1,361;486;8,032;7,766;6,669;251;17;829;266;6,689;6,469;5,691;236;10;532;220
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2909;886;Municipio;Potosí;Alonso de Ibáñez;Caripuyo;Caripuyo;8,379;8,187;6,891;394;22;880;192;4,609;4,498;3,729;204;10;555;111;3,770;3,689;3,162;190;12;325;81
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2910;887;Municipio;Potosí;Alonso de Ibáñez;Caripuyo;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2911;888;Municipio;Potosí;Alonso de Ibáñez;Caripuyo;Rural;8,379;8,187;6,891;394;22;880;192;4,609;4,498;3,729;204;10;555;111;3,770;3,689;3,162;190;12;325;81
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2912;889;Provincia;Potosí;Sur Chichas;;Sur Chichas;54,652;54,108;33,542;14,713;770;5,083;544;26,826;26,556;15,790;7,352;419;2,995;270;27,826;27,552;17,752;7,361;351;2,088;274
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2913;890;Provincia;Potosí;Sur Chichas;;Urbana;28,348;28,158;18,314;6,894;443;2,507;190;13,518;13,432;8,477;3,238;216;1,501;86;14,830;14,726;9,837;3,656;227;1,006;104
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2914;891;Provincia;Potosí;Sur Chichas;;Rural;26,304;25,950;15,228;7,819;327;2,576;354;13,308;13,124;7,313;4,114;203;1,494;184;12,996;12,826;7,915;3,705;124;1,082;170
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2915;892;Municipio;Potosí;Sur Chichas;Tupiza;Tupiza;45,090;44,640;30,023;9,481;600;4,536;450;21,853;21,630;14,074;4,581;307;2,668;223;23,237;23,010;15,949;4,900;293;1,868;227
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2916;893;Municipio;Potosí;Sur Chichas;Tupiza;Urbana;28,348;28,158;18,314;6,894;443;2,507;190;13,518;13,432;8,477;3,238;216;1,501;86;14,830;14,726;9,837;3,656;227;1,006;104
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2917;894;Municipio;Potosí;Sur Chichas;Tupiza;Rural;16,742;16,482;11,709;2,587;157;2,029;260;8,335;8,198;5,597;1,343;91;1,167;137;8,407;8,284;6,112;1,244;66;862;123
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2918;895;Municipio;Potosí;Sur Chichas;Atocha;Atocha;9,562;9,468;3,519;5,232;170;547;94;4,973;4,926;1,716;2,771;112;327;47;4,589;4,542;1,803;2,461;58;220;47
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2919;896;Municipio;Potosí;Sur Chichas;Atocha;Urbana;;;;;;;;;;;;;;;;;;;;;
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2920;897;Municipio;Potosí;Sur Chichas;Atocha;Rural;9,562;9,468;3,519;5,232;170;547;94;4,973;4,926;1,716;2,771;112;327;47;4,589;4,542;1,803;2,461;58;220;47
BOLIVIA: POBLACIÓN REGISTRADA AL SISTEMA ÚNICO DE SALUD O AFILIADA A SEGUROS DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA , MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSO 2921;898;Provincia;Potosí;Nor Lípez;;Nor Lípez;14,174;14,029;7,994;2,866;1,472;1,697;145;7,710;7,621;3,993;1,737;862;1,029;89;6,464;6,408;4,001;1,129;610;668;56
