cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2021_poblacion_2001;2021_poblacion_1996;2021_no_migrantes;2021_porcentaje_de_no_migrantes_;2021_inmigrantes_1996-2001;2021_porcentaje_de_inmigrantes_recientes;2021_emigrantes_1996-2001;2021_porcentaje_de_emigrantes_recientes;2021_migracion_neta;2021_migracion_bruta;2021_tasa_de_inmigracion;2021_tasa_de_emigracion;2021_tasa_de_migracion_neta;2021_indice_de_eficacia_migratoria;2001_poblacion_2001;2001_poblacion_2007;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_2007-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_2007-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2019-2024;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2019-2024;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria;;
;673;Municipio/TIOC;Oruro;Carangas;Corque;Corque;7649.00;7906.00;7163.00;0.10;486.00;0.10;743.00;0.10;-257.00;1229.00;12.50;19.10;-6.60;-0.20;8029.00;7921.00;7475.00;0.10;554.00;0.10;446.00;0.10;108.00;1000.00;13.90;11.20;2.70;0.10;12480.00;12012.00;11599.00;0.10;881.00;0.10;413.00;0.10;468.00;1294.00;14.40;6.70;7.60;0.40;;
;674;Municipio/TIOC;Oruro;Carangas;Corque;Hombres;4036.00;4070.00;3725.00;0.10;311.00;0.10;345.00;0.10;-34.00;656.00;15.30;17.00;-1.70;-0.10;4234.00;4096.00;3872.00;0.10;362.00;0.10;224.00;0.10;138.00;586.00;17.40;10.80;6.60;0.20;6369.00;6119.00;5925.00;0.10;444.00;0.10;194.00;0.10;250.00;638.00;14.20;6.20;8.00;0.40;;
;675;Municipio/TIOC;Oruro;Carangas;Corque;Mujeres;3613.00;3836.00;3438.00;0.10;175.00;0.00;398.00;0.10;-223.00;573.00;9.40;21.40;-12.00;-0.40;3795.00;3825.00;3603.00;0.10;192.00;0.10;222.00;0.10;-30.00;414.00;10.10;11.70;-1.60;-0.10;6111.00;5893.00;5674.00;0.10;437.00;0.10;219.00;0.10;218.00;656.00;14.60;7.30;7.30;0.30;;
;676;Municipio/TIOC;Oruro;Carangas;Choque Cota;Choque Cota;1428.00;1550.00;1397.00;0.00;31.00;0.00;153.00;0.00;-122.00;184.00;4.20;20.60;-16.40;-0.70;1649.00;1678.00;1603.00;0.00;46.00;0.00;75.00;0.00;-29.00;121.00;5.50;9.00;-3.50;-0.20;1990.00;2001.00;1905.00;0.00;85.00;0.00;96.00;0.00;-11.00;181.00;8.50;9.60;-1.10;-0.10;;
;677;Municipio/TIOC;Oruro;Carangas;Choque Cota;Hombres;714.00;769.00;695.00;0.00;19.00;0.00;74.00;0.00;-55.00;93.00;5.10;20.00;-14.80;-0.60;845.00;864.00;825.00;0.00;20.00;0.00;39.00;0.00;-19.00;59.00;4.70;9.10;-4.40;-0.30;1015.00;1024.00;974.00;0.00;41.00;0.00;50.00;0.00;-9.00;91.00;8.00;9.80;-1.80;-0.10;;
;678;Municipio/TIOC;Oruro;Carangas;Choque Cota;Mujeres;714.00;781.00;702.00;0.00;12.00;0.00;79.00;0.00;-67.00;91.00;3.20;21.10;-17.90;-0.70;804.00;814.00;778.00;0.00;26.00;0.00;36.00;0.00;-10.00;62.00;6.40;8.90;-2.50;-0.20;975.00;977.00;931.00;0.00;44.00;0.00;46.00;0.00;-2.00;90.00;9.00;9.40;-0.40;0.00;;
;679;Provincia;Oruro;Sajama;;Sajama;8463.00;8745.00;7872.00;0.10;591.00;0.10;873.00;0.10;-282.00;1464.00;13.70;20.30;-6.60;-0.20;8083.00;8026.00;7382.00;0.10;701.00;0.10;644.00;0.10;57.00;1345.00;17.40;16.00;1.40;0.00;10561.00;10398.00;9877.00;0.10;684.00;0.10;521.00;0.10;163.00;1205.00;13.10;9.90;3.10;0.10;;
;680;Provincia;Oruro;Sajama;;Hombres;4417.00;4467.00;4034.00;0.10;383.00;0.10;433.00;0.10;-50.00;816.00;17.20;19.50;-2.30;-0.10;4169.00;4019.00;3695.00;0.10;474.00;0.10;324.00;0.10;150.00;798.00;23.20;15.80;7.30;0.20;5418.00;5206.00;4951.00;0.10;467.00;0.20;255.00;0.10;212.00;722.00;17.60;9.60;8.00;0.30;;
;681;Provincia;Oruro;Sajama;;Mujeres;4046.00;4278.00;3838.00;0.10;208.00;0.10;440.00;0.10;-232.00;648.00;10.00;21.10;-11.10;-0.40;3914.00;4007.00;3687.00;0.10;227.00;0.10;320.00;0.10;-93.00;547.00;11.50;16.20;-4.70;-0.20;5143.00;5192.00;4926.00;0.10;217.00;0.10;266.00;0.10;-49.00;483.00;8.40;10.30;-1.90;-0.10;;
;682;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Curahuara de Carangas;4620.00;4554.00;4154.00;0.10;466.00;0.10;400.00;0.10;66.00;866.00;20.30;17.40;2.90;0.10;3748.00;3658.00;3308.00;0.00;440.00;0.10;350.00;0.10;90.00;790.00;23.80;18.90;4.90;0.10;5777.00;5673.00;5376.00;0.10;401.00;0.10;297.00;0.00;104.00;698.00;14.00;10.40;3.60;0.10;;
;683;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Hombres;2456.00;2348.00;2155.00;0.10;301.00;0.10;193.00;0.10;108.00;494.00;25.10;16.10;9.00;0.20;1972.00;1823.00;1642.00;0.00;330.00;0.10;181.00;0.10;149.00;511.00;34.80;19.10;15.70;0.30;2939.00;2800.00;2646.00;0.10;293.00;0.10;154.00;0.00;139.00;447.00;20.40;10.70;9.70;0.30;;
;684;Municipio/TIOC;Oruro;Sajama;Curahuara de Carangas;Mujeres;2164.00;2206.00;1999.00;0.10;165.00;0.00;207.00;0.10;-42.00;372.00;15.10;18.90;-3.80;-0.10;1776.00;1835.00;1666.00;0.00;110.00;0.00;169.00;0.10;-59.00;279.00;12.20;18.70;-6.50;-0.20;2838.00;2873.00;2730.00;0.10;108.00;0.00;143.00;0.00;-35.00;251.00;7.60;10.00;-2.50;-0.10;;
;685;Municipio/TIOC;Oruro;Sajama;Turco;Turco;3807.00;4128.00;3672.00;0.10;135.00;0.00;456.00;0.10;-321.00;591.00;6.80;23.00;-16.20;-0.50;4335.00;4368.00;4060.00;0.00;275.00;0.00;308.00;0.00;-33.00;583.00;12.60;14.20;-1.50;-0.10;4784.00;4725.00;4495.00;0.00;289.00;0.00;230.00;0.00;59.00;519.00;12.20;9.70;2.50;0.10;;
;686;Municipio/TIOC;Oruro;Sajama;Turco;Hombres;1940.00;2087.00;1857.00;0.10;83.00;0.00;230.00;0.10;-147.00;313.00;8.20;22.80;-14.60;-0.50;2197.00;2196.00;2046.00;0.10;151.00;0.00;150.00;0.00;1.00;301.00;13.70;13.70;0.10;0.00;2479.00;2406.00;2303.00;0.10;176.00;0.10;103.00;0.00;73.00;279.00;14.40;8.40;6.00;0.30;;
;687;Municipio/TIOC;Oruro;Sajama;Turco;Mujeres;1867.00;2041.00;1815.00;0.10;52.00;0.00;226.00;0.10;-174.00;278.00;5.30;23.10;-17.80;-0.60;2138.00;2172.00;2014.00;0.00;124.00;0.00;158.00;0.10;-34.00;282.00;11.50;14.70;-3.20;-0.10;2305.00;2319.00;2192.00;0.00;113.00;0.00;127.00;0.00;-14.00;240.00;9.80;11.00;-1.20;-0.10;;
;688;Provincia;Oruro;Litoral;;Litoral;4095.00;3814.00;3465.00;0.10;630.00;0.10;349.00;0.00;281.00;979.00;31.90;17.70;14.20;0.30;8658.00;8438.00;7927.00;0.10;731.00;0.10;511.00;0.10;220.00;1242.00;17.10;12.00;5.10;0.20;11293.00;10535.00;10276.00;0.10;1017.00;0.20;259.00;0.00;758.00;1276.00;18.60;4.70;13.90;0.60;;
;689;Provincia;Oruro;Litoral;;Hombres;2225.00;1949.00;1780.00;0.10;445.00;0.10;169.00;0.00;276.00;614.00;42.60;16.20;26.40;0.40;4505.00;4282.00;4039.00;0.10;466.00;0.10;243.00;0.10;223.00;709.00;21.20;11.10;10.20;0.30;5714.00;5264.00;5136.00;0.10;578.00;0.20;128.00;0.00;450.00;706.00;21.10;4.70;16.40;0.60;;
;690;Provincia;Oruro;Litoral;;Mujeres;1870.00;1865.00;1685.00;0.10;185.00;0.10;180.00;0.10;5.00;365.00;19.80;19.30;0.50;0.00;4153.00;4156.00;3888.00;0.10;265.00;0.10;268.00;0.10;-3.00;533.00;12.80;12.90;-0.10;0.00;5579.00;5271.00;5140.00;0.10;439.00;0.20;131.00;0.00;308.00;570.00;16.20;4.80;11.40;0.50;;
;691;Municipio/TIOC;Oruro;Litoral;Huachacalla;Huachacalla;1400.00;1124.00;935.00;0.00;465.00;0.10;189.00;0.00;276.00;654.00;73.70;30.00;43.70;0.40;876.00;588.00;499.00;0.00;377.00;0.10;89.00;0.00;288.00;466.00;103.00;24.30;78.70;0.60;3052.00;2752.00;2595.00;0.00;457.00;0.10;157.00;0.00;300.00;614.00;31.50;10.80;20.70;0.50;;
;692;Municipio/TIOC;Oruro;Litoral;Huachacalla;Hombres;836.00;573.00;478.00;0.00;358.00;0.10;95.00;0.00;263.00;453.00;101.60;27.00;74.70;0.60;586.00;341.00;291.00;0.00;295.00;0.10;50.00;0.00;245.00;345.00;127.30;21.60;105.70;0.70;1537.00;1346.00;1255.00;0.00;282.00;0.10;91.00;0.00;191.00;373.00;39.10;12.60;26.50;0.50;;
;693;Municipio/TIOC;Oruro;Litoral;Huachacalla;Mujeres;564.00;551.00;457.00;0.00;107.00;0.00;94.00;0.00;13.00;201.00;38.40;33.70;4.70;0.10;290.00;247.00;208.00;0.00;82.00;0.00;39.00;0.00;43.00;121.00;61.10;29.10;32.00;0.40;1515.00;1406.00;1340.00;0.00;175.00;0.10;66.00;0.00;109.00;241.00;24.00;9.00;14.90;0.50;;
;694;Municipio/TIOC;Oruro;Litoral;Escara;Escara;805.00;808.00;720.00;0.00;85.00;0.00;88.00;0.00;-3.00;173.00;21.10;21.80;-0.70;0.00;3522.00;3455.00;3360.00;0.00;162.00;0.00;95.00;0.00;67.00;257.00;9.30;5.40;3.80;0.30;3400.00;3271.00;3202.00;0.00;198.00;0.00;69.00;0.00;129.00;267.00;11.90;4.10;7.70;0.50;;
;695;Municipio/TIOC;Oruro;Litoral;Escara;Hombres;404.00;401.00;359.00;0.00;45.00;0.00;42.00;0.00;3.00;87.00;22.40;20.90;1.50;0.00;1789.00;1753.00;1709.00;0.00;80.00;0.00;44.00;0.00;36.00;124.00;9.00;5.00;4.10;0.30;1786.00;1711.00;1684.00;0.00;102.00;0.00;27.00;0.00;75.00;129.00;11.70;3.10;8.60;0.60;;
;696;Municipio/TIOC;Oruro;Litoral;Escara;Mujeres;401.00;407.00;361.00;0.00;40.00;0.00;46.00;0.00;-6.00;86.00;19.80;22.80;-3.00;-0.10;1733.00;1702.00;1651.00;0.00;82.00;0.00;51.00;0.00;31.00;133.00;9.50;5.90;3.60;0.20;1614.00;1560.00;1518.00;0.00;96.00;0.00;42.00;0.00;54.00;138.00;12.10;5.30;6.80;0.40;;
;697;Municipio/TIOC;Oruro;Litoral;Cruz de Machacamarca;Cruz de Machacamarca;779.00;759.00;686.00;0.00;93.00;0.00;73.00;0.00;20.00;166.00;24.20;19.00;5.20;0.10;1670.00;1775.00;1542.00;0.00;128.00;0.00;233.00;0.00;-105.00;361.00;14.90;27.10;-12.20;-0.30;1072.00;967.00;951.00;0.00;121.00;0.00;16.00;0.00;105.00;137.00;23.70;3.10;20.60;0.80;;
;698;Municipio/TIOC;Oruro;Litoral;Cruz de Machacamarca;Hombres;398.00;394.00;355.00;0.00;43.00;0.00;39.00;0.00;4.00;82.00;21.70;19.70;2.00;0.00;819.00;857.00;754.00;0.00;65.00;0.00;103.00;0.00;-38.00;168.00;15.50;24.60;-9.10;-0.20;553.00;488.00;480.00;0.00;73.00;0.00;8.00;0.00;65.00;81.00;28.00;3.10;25.00;0.80;;
;699;Municipio/TIOC;Oruro;Litoral;Cruz de Machacamarca;Mujeres;381.00;365.00;331.00;0.00;50.00;0.00;34.00;0.00;16.00;84.00;26.80;18.20;8.60;0.20;851.00;918.00;788.00;0.00;63.00;0.00;130.00;0.00;-67.00;193.00;14.20;29.40;-15.10;-0.30;519.00;479.00;471.00;0.00;48.00;0.00;8.00;0.00;40.00;56.00;19.20;3.20;16.00;0.70;;
;700;Municipio/TIOC;Oruro;Litoral;Yunguyo de Litoral;Yunguyo de Litoral;200.00;191.00;184.00;0.00;16.00;0.00;7.00;0.00;9.00;23.00;16.40;7.20;9.20;0.40;436.00;443.00;417.00;0.00;19.00;0.00;26.00;0.00;-7.00;45.00;8.60;11.80;-3.20;-0.20;642.00;556.00;551.00;0.00;91.00;0.00;5.00;0.00;86.00;96.00;30.40;1.70;28.70;0.90;;
;701;Municipio/TIOC;Oruro;Litoral;Yunguyo de Litoral;Hombres;112.00;106.00;103.00;0.00;9.00;0.00;3.00;0.00;6.00;12.00;16.50;5.50;11.00;0.50;230.00;232.00;221.00;0.00;9.00;0.00;11.00;0.00;-2.00;20.00;7.80;9.50;-1.70;-0.10;317.00;263.00;261.00;0.00;56.00;0.00;2.00;0.00;54.00;58.00;38.60;1.40;37.20;0.90;;
;702;Municipio/TIOC;Oruro;Litoral;Yunguyo de Litoral;Mujeres;88.00;85.00;81.00;0.00;7.00;0.00;4.00;0.00;3.00;11.00;16.20;9.20;6.90;0.30;206.00;211.00;196.00;0.00;10.00;0.00;15.00;0.00;-5.00;25.00;9.60;14.40;-4.80;-0.20;325.00;293.00;290.00;0.00;35.00;0.00;3.00;0.00;32.00;38.00;22.70;1.90;20.70;0.80;;
;703;Municipio/TIOC;Oruro;Litoral;Esmeralda;Esmeralda;882.00;906.00;845.00;0.00;37.00;0.00;61.00;0.00;-24.00;98.00;8.30;13.60;-5.40;-0.20;2154.00;2177.00;2075.00;0.00;79.00;0.00;102.00;0.00;-23.00;181.00;7.30;9.40;-2.10;-0.10;3127.00;2989.00;2900.00;0.00;227.00;0.00;89.00;0.00;138.00;316.00;14.80;5.80;9.00;0.40;;
;704;Municipio/TIOC;Oruro;Litoral;Esmeralda;Hombres;453.00;463.00;437.00;0.00;16.00;0.00;26.00;0.00;-10.00;42.00;7.00;11.40;-4.40;-0.20;1081.00;1099.00;1052.00;0.00;29.00;0.00;47.00;0.00;-18.00;76.00;5.30;8.60;-3.30;-0.20;1521.00;1456.00;1409.00;0.00;112.00;0.00;47.00;0.00;65.00;159.00;15.00;6.30;8.70;0.40;;
;705;Municipio/TIOC;Oruro;Litoral;Esmeralda;Mujeres;429.00;443.00;408.00;0.00;21.00;0.00;35.00;0.00;-14.00;56.00;9.60;16.10;-6.40;-0.30;1073.00;1078.00;1023.00;0.00;50.00;0.00;55.00;0.00;-5.00;105.00;9.30;10.20;-0.90;0.00;1606.00;1533.00;1491.00;0.00;115.00;0.00;42.00;0.00;73.00;157.00;14.70;5.40;9.30;0.50;;
;706;Provincia;Oruro;Poopó;;Poopó;12926.00;13685.00;11766.00;0.20;1160.00;0.20;1919.00;0.30;-759.00;3079.00;17.40;28.80;-11.40;-0.20;14402.00;14285.00;13064.00;0.20;1338.00;0.20;1221.00;0.20;117.00;2559.00;18.70;17.00;1.60;0.00;13796.00;13697.00;12636.00;0.10;1160.00;0.20;1061.00;0.20;99.00;2221.00;16.90;15.40;1.40;0.00;;
;707;Provincia;Oruro;Poopó;;Hombres;6338.00;6702.00;5747.00;0.20;591.00;0.20;955.00;0.30;-364.00;1546.00;18.10;29.30;-11.20;-0.20;7299.00;7213.00;6595.00;0.20;704.00;0.20;618.00;0.20;86.00;1322.00;19.40;17.00;2.40;0.10;7087.00;6996.00;6456.00;0.10;631.00;0.20;540.00;0.20;91.00;1171.00;17.90;15.30;2.60;0.10;;
;708;Provincia;Oruro;Poopó;;Mujeres;6588.00;6983.00;6019.00;0.20;569.00;0.20;964.00;0.30;-395.00;1533.00;16.80;28.40;-11.60;-0.30;7103.00;7072.00;6469.00;0.20;634.00;0.20;603.00;0.20;31.00;1237.00;17.90;17.00;0.90;0.00;6709.00;6701.00;6180.00;0.10;529.00;0.20;521.00;0.20;8.00;1050.00;15.80;15.50;0.20;0.00;;
;709;Municipio/TIOC;Oruro;Poopó;Poopó;Poopó;5469.00;5402.00;4997.00;0.10;472.00;0.10;405.00;0.10;67.00;877.00;17.40;14.90;2.50;0.10;6560.00;6509.00;5897.00;0.10;663.00;0.10;612.00;0.10;51.00;1275.00;20.30;18.70;1.60;0.00;7255.00;7109.00;6554.00;0.10;701.00;0.10;555.00;0.10;146.00;1256.00;19.50;15.50;4.10;0.10;;
;710;Municipio/TIOC;Oruro;Poopó;Poopó;Hombres;2680.00;2639.00;2442.00;0.10;238.00;0.10;197.00;0.10;41.00;435.00;17.90;14.80;3.10;0.10;3334.00;3272.00;2975.00;0.10;359.00;0.10;297.00;0.10;62.00;656.00;21.70;18.00;3.80;0.10;3743.00;3647.00;3360.00;0.10;383.00;0.10;287.00;0.10;96.00;670.00;20.70;15.50;5.20;0.10;;
;711;Municipio/TIOC;Oruro;Poopó;Poopó;Mujeres;2789.00;2763.00;2555.00;0.10;234.00;0.10;208.00;0.10;26.00;442.00;16.90;15.00;1.90;0.10;3226.00;3237.00;2922.00;0.10;304.00;0.10;315.00;0.10;-11.00;619.00;18.80;19.50;-0.70;0.00;3512.00;3462.00;3194.00;0.10;318.00;0.10;268.00;0.10;50.00;586.00;18.20;15.40;2.90;0.10;;
;712;Municipio/TIOC;Oruro;Poopó;Pazña;Pazña;4665.00;5423.00;4226.00;0.10;439.00;0.10;1197.00;0.20;-758.00;1636.00;17.40;47.50;-30.10;-0.50;5100.00;5102.00;4654.00;0.10;446.00;0.10;448.00;0.10;-2.00;894.00;17.50;17.60;-0.10;0.00;3570.00;3606.00;3282.00;0.00;288.00;0.00;324.00;0.00;-36.00;612.00;16.10;18.10;-2.00;-0.10;;
;713;Municipio/TIOC;Oruro;Poopó;Pazña;Hombres;2245.00;2611.00;2031.00;0.10;214.00;0.10;580.00;0.20;-366.00;794.00;17.60;47.80;-30.10;-0.50;2560.00;2567.00;2326.00;0.10;234.00;0.10;241.00;0.10;-7.00;475.00;18.30;18.80;-0.50;0.00;1812.00;1822.00;1663.00;0.00;149.00;0.00;159.00;0.00;-10.00;308.00;16.40;17.50;-1.10;0.00;;
;714;Municipio/TIOC;Oruro;Poopó;Pazña;Mujeres;2420.00;2812.00;2195.00;0.10;225.00;0.10;617.00;0.20;-392.00;842.00;17.20;47.20;-30.00;-0.50;2540.00;2535.00;2328.00;0.10;212.00;0.10;207.00;0.10;5.00;419.00;16.70;16.30;0.40;0.00;1758.00;1784.00;1619.00;0.00;139.00;0.00;165.00;0.10;-26.00;304.00;15.70;18.60;-2.90;-0.10;;
;715;Municipio/TIOC;Oruro;Poopó;Antequera;Antequera;2717.00;2735.00;2311.00;0.00;406.00;0.10;424.00;0.10;-18.00;830.00;29.80;31.10;-1.30;0.00;2742.00;2674.00;2426.00;0.00;316.00;0.00;248.00;0.00;68.00;564.00;23.30;18.30;5.00;0.10;2971.00;2982.00;2709.00;0.00;262.00;0.00;273.00;0.00;-11.00;535.00;17.60;18.30;-0.70;0.00;;
;716;Municipio/TIOC;Oruro;Poopó;Antequera;Hombres;1374.00;1395.00;1165.00;0.00;209.00;0.10;230.00;0.10;-21.00;439.00;30.20;33.20;-3.00;0.00;1405.00;1374.00;1245.00;0.00;160.00;0.00;129.00;0.00;31.00;289.00;23.00;18.60;4.50;0.10;1532.00;1527.00;1385.00;0.00;147.00;0.00;142.00;0.00;5.00;289.00;19.20;18.60;0.70;0.00;;
;717;Municipio/TIOC;Oruro;Poopó;Antequera;Mujeres;1343.00;1340.00;1146.00;0.00;197.00;0.10;194.00;0.10;3.00;391.00;29.40;28.90;0.40;0.00;1337.00;1300.00;1181.00;0.00;156.00;0.00;119.00;0.00;37.00;275.00;23.70;18.10;5.60;0.10;1439.00;1455.00;1324.00;0.00;115.00;0.00;131.00;0.00;-16.00;246.00;15.90;18.10;-2.20;-0.10;;
;718;Provincia;Oruro;Pantaleón Dalence;;Pantaleón Dalence;20158.00;21378.00;17798.00;0.30;2360.00;0.30;3580.00;0.50;-1220.00;5940.00;22.70;34.50;-11.70;-0.20;25508.00;25853.00;23584.00;0.30;1924.00;0.30;2269.00;0.40;-345.00;4193.00;15.00;17.70;-2.70;-0.10;23032.00;24384.00;21825.00;0.20;1207.00;0.20;2559.00;0.50;-1352.00;3766.00;10.20;21.60;-11.40;-0.40;;
;719;Provincia;Oruro;Pantaleón Dalence;;Hombres;10229.00;10678.00;8933.00;0.30;1296.00;0.40;1745.00;0.50;-449.00;3041.00;24.80;33.40;-8.60;-0.10;13071.00;13225.00;12123.00;0.30;948.00;0.30;1102.00;0.30;-154.00;2050.00;14.40;16.80;-2.30;-0.10;11602.00;12267.00;10988.00;0.20;614.00;0.20;1279.00;0.40;-665.00;1893.00;10.30;21.40;-11.10;-0.40;;
;720;Provincia;Oruro;Pantaleón Dalence;;Mujeres;9929.00;10700.00;8865.00;0.30;1064.00;0.30;1835.00;0.50;-771.00;2899.00;20.60;35.60;-14.90;-0.30;12437.00;12628.00;11461.00;0.30;976.00;0.30;1167.00;0.40;-191.00;2143.00;15.60;18.60;-3.00;-0.10;11430.00;12117.00;10837.00;0.20;593.00;0.20;1280.00;0.50;-687.00;1873.00;10.10;21.70;-11.70;-0.40;;
;721;Municipio/TIOC;Oruro;Pantaleón Dalence;Huanuni;Huanuni;16381.00;17361.00;14465.00;0.20;1916.00;0.30;2896.00;0.40;-980.00;4812.00;22.70;34.30;-11.60;-0.20;21311.00;21836.00;19770.00;0.20;1541.00;0.20;2066.00;0.30;-525.00;3607.00;14.30;19.20;-4.90;-0.10;17683.00;19113.00;16786.00;0.20;897.00;0.10;2327.00;0.40;-1430.00;3224.00;9.80;25.30;-15.50;-0.40;;
;722;Municipio/TIOC;Oruro;Pantaleón Dalence;Huanuni;Hombres;8387.00;8736.00;7320.00;0.20;1067.00;0.30;1416.00;0.40;-349.00;2483.00;24.90;33.10;-8.20;-0.10;11042.00;11288.00;10282.00;0.30;760.00;0.20;1006.00;0.30;-246.00;1766.00;13.60;18.00;-4.40;-0.10;8951.00;9665.00;8487.00;0.20;464.00;0.10;1178.00;0.30;-714.00;1642.00;10.00;25.30;-15.30;-0.40;;
;723;Municipio/TIOC;Oruro;Pantaleón Dalence;Huanuni;Mujeres;7994.00;8625.00;7145.00;0.20;849.00;0.20;1480.00;0.40;-631.00;2329.00;20.40;35.60;-15.20;-0.30;10269.00;10548.00;9488.00;0.20;781.00;0.20;1060.00;0.30;-279.00;1841.00;15.00;20.40;-5.40;-0.20;8732.00;9448.00;8299.00;0.20;433.00;0.10;1149.00;0.40;-716.00;1582.00;9.50;25.30;-15.80;-0.50;;
;724;Municipio/TIOC;Oruro;Pantaleón Dalence;Machacamarca;Machacamarca;3637.00;3864.00;3243.00;0.10;394.00;0.10;621.00;0.10;-227.00;1015.00;21.00;33.10;-12.10;-0.20;4197.00;4017.00;3790.00;0.00;407.00;0.10;227.00;0.00;180.00;634.00;19.80;11.10;8.80;0.30;5349.00;5271.00;5022.00;0.10;327.00;0.10;249.00;0.00;78.00;576.00;12.30;9.40;2.90;0.10;;
;725;Municipio/TIOC;Oruro;Pantaleón Dalence;Machacamarca;Hombres;1765.00;1850.00;1564.00;0.10;201.00;0.10;286.00;0.10;-85.00;487.00;22.20;31.60;-9.40;-0.20;2029.00;1937.00;1827.00;0.00;202.00;0.10;110.00;0.00;92.00;312.00;20.40;11.10;9.30;0.30;2651.00;2602.00;2496.00;0.10;155.00;0.00;106.00;0.00;49.00;261.00;11.80;8.10;3.70;0.20;;
;726;Municipio/TIOC;Oruro;Pantaleón Dalence;Machacamarca;Mujeres;1872.00;2014.00;1679.00;0.10;193.00;0.10;335.00;0.10;-142.00;528.00;19.90;34.50;-14.60;-0.30;2168.00;2080.00;1963.00;0.00;205.00;0.10;117.00;0.00;88.00;322.00;19.30;11.00;8.30;0.30;2698.00;2669.00;2526.00;0.10;172.00;0.10;143.00;0.00;29.00;315.00;12.80;10.70;2.20;0.10;;
;727;Provincia;Oruro;Ladislao Cabrera;;Ladislao Cabrera;10285.00;10747.00;9773.00;0.20;512.00;0.10;974.00;0.10;-462.00;1486.00;9.70;18.50;-8.80;-0.30;12641.00;12521.00;11703.00;0.10;938.00;0.20;818.00;0.10;120.00;1756.00;14.90;13.00;1.90;0.10;15244.00;15101.00;14270.00;0.20;974.00;0.20;831.00;0.20;143.00;1805.00;12.80;11.00;1.90;0.10;;
;728;Provincia;Oruro;Ladislao Cabrera;;Hombres;5198.00;5387.00;4930.00;0.20;268.00;0.10;457.00;0.10;-189.00;725.00;10.10;17.30;-7.10;-0.30;6599.00;6444.00;6083.00;0.10;516.00;0.20;361.00;0.10;155.00;877.00;15.80;11.10;4.80;0.20;7815.00;7768.00;7314.00;0.20;501.00;0.20;454.00;0.20;47.00;955.00;12.90;11.70;1.20;0.00;;
;729;Provincia;Oruro;Ladislao Cabrera;;Mujeres;5087.00;5360.00;4843.00;0.10;244.00;0.10;517.00;0.20;-273.00;761.00;9.30;19.80;-10.50;-0.40;6042.00;6077.00;5620.00;0.10;422.00;0.10;457.00;0.20;-35.00;879.00;13.90;15.10;-1.20;0.00;7429.00;7333.00;6956.00;0.10;473.00;0.20;377.00;0.10;96.00;850.00;12.80;10.20;2.60;0.10;;
;730;Municipio/TIOC;Oruro;Ladislao Cabrera;Salinas de Garci Mendoza;Salinas de Garci Mendoza;7670.00;7993.00;7292.00;0.10;378.00;0.10;701.00;0.10;-323.00;1079.00;9.70;17.90;-8.20;-0.30;10015.00;9883.00;9242.00;0.10;773.00;0.10;641.00;0.10;132.00;1414.00;15.50;12.90;2.70;0.10;12581.00;12425.00;11782.00;0.10;799.00;0.10;643.00;0.10;156.00;1442.00;12.80;10.30;2.50;0.10;;
;731;Municipio/TIOC;Oruro;Ladislao Cabrera;Salinas de Garci Mendoza;Hombres;3845.00;3981.00;3651.00;0.10;194.00;0.10;330.00;0.10;-136.00;524.00;9.90;16.90;-7.00;-0.30;5208.00;5077.00;4793.00;0.10;415.00;0.10;284.00;0.10;131.00;699.00;16.10;11.00;5.10;0.20;6446.00;6392.00;6043.00;0.10;403.00;0.10;349.00;0.10;54.00;752.00;12.60;10.90;1.70;0.10;;
;732;Municipio/TIOC;Oruro;Ladislao Cabrera;Salinas de Garci Mendoza;Mujeres;3825.00;4012.00;3641.00;0.10;184.00;0.10;371.00;0.10;-187.00;555.00;9.40;18.90;-9.50;-0.30;4807.00;4806.00;4449.00;0.10;358.00;0.10;357.00;0.10;1.00;715.00;14.90;14.90;0.00;0.00;6135.00;6033.00;5739.00;0.10;396.00;0.10;294.00;0.10;102.00;690.00;13.00;9.70;3.40;0.10;;
;733;Municipio/TIOC;Oruro;Ladislao Cabrera;Pampa Aullagas;Pampa Aullagas;2572.00;2681.00;2453.00;0.00;119.00;0.00;228.00;0.00;-109.00;347.00;9.10;17.40;-8.30;-0.30;2626.00;2638.00;2456.00;0.00;170.00;0.00;182.00;0.00;-12.00;352.00;12.90;13.80;-0.90;0.00;2663.00;2676.00;2477.00;0.00;186.00;0.00;199.00;0.00;-13.00;385.00;13.90;14.90;-1.00;0.00;;
